Mar 18 16:47:08.381 INFO Ballot Leader Election componentMar 18 16:47:10.900 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:47:11.535 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 1 }
Mar 18 16:47:12.180 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 3 }
Mar 18 16:47:14.066 DEBG Newly elected leader: Ballot { n: 1, priority: 0, pid: 1 }
Mar 18 16:47:15.327 DEBG Newly elected leader: Ballot { n: 1, priority: 0, pid: 2 }
Mar 18 16:47:16.613 DEBG Newly elected leader: Ballot { n: 2, priority: 0, pid: 1 }
Mar 18 16:47:19.825 DEBG Newly elected leader: Ballot { n: 3, priority: 0, pid: 2 }
Mar 18 16:47:21.754 DEBG Newly elected leader: Ballot { n: 4, priority: 0, pid: 2 }
Mar 18 16:47:24.927 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:47:26.854 DEBG Newly elected leader: Ballot { n: 5, priority: 0, pid: 2 }
Mar 18 16:47:28.745 DEBG Newly elected leader: Ballot { n: 6, priority: 0, pid: 1 }
Mar 18 16:47:33.202 DEBG Newly elected leader: Ballot { n: 7, priority: 0, pid: 2 }
Mar 18 16:47:34.451 DEBG Newly elected leader: Ballot { n: 8, priority: 0, pid: 1 }
Mar 18 16:47:38.855 DEBG Newly elected leader: Ballot { n: 9, priority: 0, pid: 1 }
Mar 18 16:47:42.655 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:47:43.303 DEBG Newly elected leader: Ballot { n: 11, priority: 0, pid: 2 }
Mar 18 16:47:45.847 DEBG Newly elected leader: Ballot { n: 11, priority: 0, pid: 2 }
Mar 18 16:47:46.490 DEBG Newly elected leader: Ballot { n: 12, priority: 0, pid: 1 }
Mar 18 16:47:50.343 DEBG Newly elected leader: Ballot { n: 13, priority: 0, pid: 2 }
Mar 18 16:47:51.625 DEBG Newly elected leader: Ballot { n: 14, priority: 0, pid: 1 }
Mar 18 16:47:54.823 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:47:56.722 DEBG Newly elected leader: Ballot { n: 15, priority: 0, pid: 1 }
Mar 18 16:47:58.634 DEBG Newly elected leader: Ballot { n: 15, priority: 0, pid: 2 }
Mar 18 16:48:02.482 DEBG Newly elected leader: Ballot { n: 16, priority: 0, pid: 2 }
Mar 18 16:48:05.047 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:48:11.473 DEBG Newly elected leader: Ballot { n: 19, priority: 0, pid: 2 }
Mar 18 16:48:12.771 DEBG Newly elected leader: Ballot { n: 20, priority: 0, pid: 1 }
Mar 18 16:48:16.620 DEBG Newly elected leader: Ballot { n: 21, priority: 0, pid: 1 }
Mar 18 16:48:19.145 DEBG Newly elected leader: Ballot { n: 22, priority: 0, pid: 2 }
Mar 18 16:48:22.348 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:48:22.991 DEBG Newly elected leader: Ballot { n: 23, priority: 0, pid: 2 }
Mar 18 16:48:25.541 DEBG Newly elected leader: Ballot { n: 24, priority: 0, pid: 1 }
Mar 18 16:48:28.110 DEBG Newly elected leader: Ballot { n: 25, priority: 0, pid: 1 }
Mar 18 16:48:31.319 DEBG Newly elected leader: Ballot { n: 26, priority: 0, pid: 2 }
Mar 18 16:48:38.994 DEBG Newly elected leader: Ballot { n: 27, priority: 0, pid: 2 }
Mar 18 16:48:40.268 DEBG Newly elected leader: Ballot { n: 28, priority: 0, pid: 2 }
Mar 18 16:48:44.755 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 0 }
Mar 18 16:48:45.403 DEBG Newly elected leader: Ballot { n: 29, priority: 0, pid: 2 }
Mar 18 16:48:49.241 DEBG Newly elected leader: Ballot { n: 30, priority: 0, pid: 2 }
Mar 18 16:48:50.522 DEBG Newly elected leader: Ballot { n: 31, priority: 0, pid: 2 }
